X1,Y1,X2,Y2
3.3201977067561517e6,141576.48295674293,1.4270966798022927e12,1.8316094642351694e11
3.35046367134527e6,143515.16792262372,1.4270966495363281e12,1.8399729648483197e11
3.3808652630467364e6,145471.3394834972,1.4270966191347366e12,1.8483364652866043e11
3.411402451567386e6,147445.07320089257,1.427096588597548e12,1.8566999655492673e11
3.44207520648802e6,149436.44458444157,1.4270965579247932e12,1.8650634656355533e11
3.472883497263555e6,151445.52909167626,1.4270965271165024e12,1.8734269655447083e11
3.503827293223173e6,153472.40212782726,1.4270964961727063e12,1.881790465275978e11
3.5349065635704673e6,155517.1390456223,1.4270964650934358e12,1.890153964828609e11
3.5661212773835952e6,157579.8151450853,1.427096433878722e12,1.8985174642018478e11
3.5974714036154263e6,159660.50567333595,1.4270964025285957e12,1.9068809633949426e11
3.6289569110936946e6,161759.2858243894,1.4270963710430881e12,1.915244462407141e11
3.6605777685211487e6,163876.2307389568,1.4270963394222307e12,1.9236079612376923e11
3.6923339444757043e6,166011.41550424587,1.427096307666055e12,1.9319714598858444e11
3.724225407410597e6,168164.91515376218,1.427096275774592e12,1.940334958350848e11
3.7562521256545344e6,170336.80466711067,1.4270962437478738e12,1.9486984566319528e11
3.788414067411849e6,172527.15896979775,1.427096211585932e12,1.9570619547284097e11
3.820711200762653e6,174736.05293303373,1.4270961792887986e12,1.96542545263947e11
3.8531434936629925e6,176963.56137353575,1.4270961468565056e12,1.9737889503643854e11
3.8857109139450034e6,179209.75905333098,1.4270961142890852e12,1.9821524479024088e11
3.918413429317064e6,181474.7206795606,1.4270960815865698e12,1.9905159452527927e11
3.951251007363955e6,183758.52090428374,1.427096048748992e12,1.9988794424147903e11
3.984223615547013e6,186061.23432428238,1.4270960157763838e12,2.007242939387656e11
4.017331221204288e6,188382.93548086623,1.427095982668778e12,2.0156064361706445e11
4.0505737915507015e6,190723.69885967826,1.4270959494262078e12,2.023969932763011e11
4.083951293678205e6,193083.59889050078,1.4270959160487058e12,2.0323334291640106e11
4.1174636945559373e6,195462.70994706167,1.427095882536305e12,2.0406969253729e11
4.1511109610303836e6,197861.10634684138,1.4270958488890383e12,2.0490604213889362e11
4.184893059825537e6,200278.8623508801,1.4270958151069395e12,2.057423917211376e11
4.2188099575430555e6,202716.05216358555,1.4270957811900417e12,2.0657874128394778e11
4.252861620662425e6,205172.74993254116,1.4270957471383784e12,2.0741509082725003e11
4.287048015541119e6,207649.02974831464,1.4270957129519834e12,2.082514403509702e11
4.32136910841476e6,210144.96564426707,1.4270956786308906e12,2.0908778985503433e11
4.355824865397283e6,212660.6315963625,1.4270956441751335e12,2.0992413933936838e11
4.390415252481097e6,215196.1015229779,1.4270956095847466e12,2.1076048880389847e11
4.425140235537248e6,217751.4492847135,1.4270955748597634e12,2.1159683824855072e11
4.459999780315582e6,220326.7486842038,1.4270955400002188e12,2.124331876732513e11
4.494993852444909e6,222922.07346592884,1.4270955050061467e12,2.132695370779265e11
4.530122417433169e6,225537.49731602604,1.4270954698775818e12,2.1410588646250266e11
4.565385440667595e6,228173.0938621024,1.4270954346145586e12,2.1494223582690613e11
4.60078288741488e6,230828.93667304728,1.4270953992171118e12,2.1577858517106332e11
4.636314722821343e6,233505.09925884553,1.4270953636852764e12,2.1661493449490076e11
4.671980911913091e6,236201.65507039116,1.4270953280190874e12,2.1745128379834494e11
4.707781419596195e6,238918.6774993014,1.4270952922185798e12,2.182876330813225e11
4.743716210656848e6,241656.23987773134,1.4270952562837888e12,2.1912398234376013e11
4.779785249761535e6,244414.4154781888,1.4270952202147498e12,2.1996033158558453e11
4.815988501457206e6,247193.27751335004,1.427095184011498e12,2.2079668080672247e11
4.852325930171441e6,249992.89913587554,1.4270951476740693e12,2.2163303000710086e11
4.888797500212618e6,252813.35343822654,1.4270951112024995e12,2.2246937918664655e11
4.925403175770085e6,255654.7134524818,1.427095074596824e12,2.2330572834528653e11
4.962142920914331e6,258517.05215015518,1.4270950378570786e12,2.241420774829478e11
4.999016699597154e6,261400.44244201327,1.4270950009832998e12,2.2497842659955753e11
5.036024475651832e6,264304.9571778938,1.4270949639755237e12,2.258147756950428e11
5.073166212793298e6,267230.66914652445,1.4270949268337866e12,2.2665112476933084e11
5.110441874618307e6,270177.651075342,1.4270948895581248e12,2.274874738223489e11
5.147851424605612e6,273145.9756303121,1.4270948521485747e12,2.2832382285402435e11
